docker-compose version 1.28.5, build c4eb3a1f /etc/ansible/Assignment/DockerDemo/examples/compose DRIVER    VOLUME NAME
local     0a3319ebe51d0d9dcdf6257f9c646d6d1de79677df16122b6a21d6a5c4a2ab7e
local     0c589025f99558afa0dc893b218a01abdf3ea0ce4ef57f1902952cabb5482276
local     0d548226e00739269871075b91edf15adf50b46f54cdcee8660464208620b1af
local     0e46a56e37ff86b0cdaf87eb2385960fe8e7041dda51fc0e81b21e9578238d8c
local     0e47a0f86d277873fcc0ed8408aeffbc469c946db18ecf24a73d9b8e568ca233
local     0e617f206577f68ef78f365b6edb44d5dad1fc56b7366815d2f7112fbd9a5d0a
local     0f6e5dc8ab87030e59791d74ec693bd67ee7a090de6c0945acfd99c76a350223
local     1a6a328908cbd58139803ea5c2cbae7fd37b4a5498634032f06c1997850abfa3
local     1a6b8a473db83fbc146675df9fcd13a3894cbe8ce44346ae87256fb566f6db23
local     1a26616ac86fa0980e37c99ee47060d031a5a475d15ab692f5fb202891d6f86d
local     1ad3da49f358ec395ceafab989f199caaa1eac52998d97c39c5abc0b48c29e85
local     1b026c78e4d8ff43f8edd8c94c98664962157aa84b0950612e66f5493ba4037d
local     1b76eae8ac160a4f5f64f39849b71688822753e023292636067c14a2ed46cb25
local     1c2b422fe655731371c018a3f82270e83e5d2410682a8b220e80b2e503e8dbce
local     1cc6c54905465ce993800a2c812e11403af0fbb0b2ebea9c3927709a272c7dbc
local     1e19d9fe5aa717c9a43753fe41a9ba0d61848362b84c92b0d81c4777ed85a73c
local     1ec9a85da45190979a37ce1373e77dbfa7b6c8879d21ef84d2ab91c072c4d12e
local     2a90a2119fdb139fe8ebeaa818ab454c28965b00cac9ca4f88b17a230960ddbb
local     2bda41a42046b55e9ee4d67ca542304d4502fd997cddd95679a6be688e08855c
local     2c3c6b4eedaa4306945522b7e2778eb1937ddff56853f2364cee6161ba1432cb
local     2c78054167f10712eb92a84d5b1ef3506e8e8726f916f527c6d9172662661c34
local     2cf97e3b9832e580ce7fe457bcab823451de59e0f4426fef0e437bdb7fcd9559
local     2e4427711aed49e4f0de7078dc3ce9d0bcaf6ffc8b3c987fa6bcedce8e161b4b
local     2ed21e1bc5d0c50eed4a3a3e750cc64e2a7d477b853ec7aa497be2386003418e
local     2f66ffc7a3f242d7ae1068f5d6b7457d03570bba964ebaf5466b42ec8ae2b744
local     2fa5be133d003b5de61134f6480dcaed3093cf861980ecc1f363a9d598eeee9a
local     02d716a44b0558066fa775f0954ddaa041bdb87872776d4804477ff48cb485e0
local     3a16d7e3bab3193d775cbd5005e982009f94bf4816775cd928d7f13c745e4b61
local     3a33d16952930057d25db990edb35c097ef4e5c1e99c7d44abf1583220eb2402
local     3aa22a6d18dc5f14971d4291cbdf0aa63fde3699cd85c4a12328f17cdbc56bc7
local     3acac8f8600ad5d65590d9f2292a35861eeb0a172fc48df9320fe3636a5d0465
local     3ae1b3f8d3cc881f810159fa06276cf5cab8501c65f08795fbc6eda924f1df2a
local     3c6df2dcee30cae00e067bc2b84f49d95591a2b8d7fb62def10581cf7d19291b
local     3c0609a41d947f06062b64786c06e45d194b93066fdb1e70e95dc775c77e01cd
local     3c647171b763cf2fb9ebdc43fca571a40136c34f54def7480f9e4c39d665392d
